Project Name,Package Name,Type Name,Method Name,Code Smell
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Complex Method
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Method
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo400,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo500,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo500,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo510,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo510,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo520,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo520,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo610,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeTo610,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,getDatabaseHandle,Complex Method
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,getDatabaseVersion,Empty catch clause
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,getDatabaseVersion,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,parseVersionString,Empty catch clause
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,parseVersionString,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,parseVersionString,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,parseVersionString,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,parseVersionString,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,setDatabaseVersion,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,updateDatabaseVersion,Magic Number
java,org.apache.roller.weblogger.business.themes,SharedThemeFromDir,loadThemeFromDisk,Complex Method
